,folder,fish,task,area,type,rootDir
0,12262018,Fish1-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
1,12262018,Fish1-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
2,12262018,Fish1-3,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
3,12262018,Fish2-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
4,12262018,Fish2-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
5,12262018,Fish3-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
6,12262018,Fish3-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
7,12262018,Fish3-3,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
8,1022019,Fish1-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
9,1022019,Fish1-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
10,1022019,Fish1-3,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
11,1022019,Fish2-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
12,1022019,Fish2-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
13,1022019,Fish2-3,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
14,1162019,Fish1-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
15,1162019,Fish1-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
16,1162019,Fish1-3,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
17,1162019,Fish2-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
18,1162019,Fish2-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
19,1162019,Fish2-3,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
20,1302019,Fish1-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
21,1302019,Fish1-2,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
22,1302019,Fish1-3,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
23,1302019,Fish2-1,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
24,1302019,Fish2-2,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
25,2062019,Fish1-1,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
26,2062019,Fish1-2,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
27,2062019,Fish1-3,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
28,2062019,Fish1-4,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
29,2062019,Fish1-5,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
30,2062019,Fish1-6,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
31,2132019,Fish1-1,Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
32,2132019,Fish1-2,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
33,2132019,Fish1-3,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
34,2132019,Fish1-4,Optovin+Gain adaptation,GABA,HuC,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
